"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"An #election not an ""excuse violence against people peacefully and non-violently doing whatever they're doing"" https://t.co/5FJIEiZlnf",FALSE,0,NA,2017-10-04 15:07:16,FALSE,NA,"915594172148613122",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","schestowitz",0,FALSE,FALSE,NA,NA
"Republican wins #Mississippi House seat in special #election https://t.co/ZV9QRiiq5f",FALSE,0,NA,2017-10-04 15:06:48,FALSE,NA,"915594055702134784",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MSSmallBz",0,FALSE,FALSE,NA,NA
"#Stock #market up 24% since #election... https://t.co/ZZVYQHyFtg",FALSE,0,NA,2017-10-04 15:05:55,FALSE,NA,"915593833337024512",NA,"<a href=""http://www.thebeltwaypundit.com"" rel=""nofollow"">PostFromMyMac</a>","BeltwayPundit",0,FALSE,FALSE,NA,NA
"#Stock #market up 24% since #election... https://t.co/fC32WbZU3g",FALSE,0,NA,2017-10-04 15:05:52,FALSE,NA,"915593821009907712",NA,"<a href=""http://drudgereportarchives.com"" rel=""nofollow"">PostFromTheMac</a>","_drudgereport_",0,FALSE,FALSE,NA,NA
"#Stock #market up 24% since #election... https://t.co/p9VC9Q8Fof",FALSE,0,NA,2017-10-04 15:05:52,FALSE,NA,"915593820053655552",NA,"<a href=""http://www.rights.com"" rel=""nofollow"">Post From Web Site</a>","drudgeheadlines",0,FALSE,FALSE,NA,NA
"RT @jim3love: There will be #NO #election in #Anambra #Biafraland come 18th Nov 2017. #Biafrans re mourning their lovely ones massacred by…",FALSE,0,NA,2017-10-04 15:05:15,FALSE,NA,"915593667301265408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnetochiEbuka",24,TRUE,FALSE,NA,NA
"RT @MagnumForamen: .@TheTexianDM Miller #Texas Nationalist engaged #Russian effort 2 influence #US #election @GovAbbott @MSNBC #Texans
http…",FALSE,0,NA,2017-10-04 15:02:27,FALSE,NA,"915592963069288448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagnumForamen",7,TRUE,FALSE,NA,NA
"RT @jim3love: #Biafrans in #Anambra must boycott d 18th Nov #election in #Anambra by d zoo niGEria Gov. 
#Support #BiafraReferendum, #Biafr…",FALSE,0,NA,2017-10-04 14:57:43,FALSE,NA,"915591770041470976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmmasatBiafra",19,TRUE,FALSE,NA,NA
"Worth reading! This #election is true test to #Liberia #democracy. May transition be peaceful as signal to other… https://t.co/roY4oPgVDO",FALSE,0,NA,2017-10-04 14:52:26,TRUE,NA,"915590441172701184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hannah_LBerg",0,FALSE,FALSE,NA,NA
"RT @EUPublicAffairs: Curious 2know what #germany #election will mean 4 Central Europe? Read @MaZaborowski's article via @VisegradInsight ht…",FALSE,0,NA,2017-10-04 14:50:11,FALSE,NA,"915589873779855360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaZaborowski",2,TRUE,FALSE,NA,NA
"RT @jim3love: #Biafrans in #Anambra must boycott d 18th Nov #election in #Anambra by d zoo niGEria Gov. 
#Support #BiafraReferendum, #Biafr…",FALSE,0,NA,2017-10-04 14:49:54,FALSE,NA,"915589801843281920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","naBiafra",19,TRUE,FALSE,NA,NA
"RT @CUPE728: We have an election! @MarkHancockCUPE and @mileskrauter for CUPE National President #CUPE2017 @cupenat #election https://t.co/…",FALSE,0,NA,2017-10-04 14:49:13,FALSE,NA,"915589629243478017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Presidentof101",2,TRUE,FALSE,NA,NA
"#College student? #GoVote Nov. 7th statewide #election!check your registration!   https://t.co/HdNfbc3p1F",FALSE,0,NA,2017-10-04 14:46:34,FALSE,NA,"915588963137675264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LWVTexas",0,FALSE,FALSE,NA,NA
"RT @jim3love: There'll be #NO #election in #Anambra #Biafraland come 18th Nov 2017. We must do everything possible to restore #Biafra. 
#Bi…",FALSE,0,NA,2017-10-04 14:44:44,FALSE,NA,"915588502787645443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onubeth",44,TRUE,FALSE,NA,NA
"RT @jim3love: 18th Nov 2017, there will be #NO #election in #Anambra #Biafraland. It is all about #Biafra. We re mourning our brethren kill…",FALSE,0,NA,2017-10-04 14:44:28,FALSE,NA,"915588435490033667",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onubeth",20,TRUE,FALSE,NA,NA
"RT @jim3love: 18th Nov 2017 is a total lock down in #Anambra #Biafraland. There will be #NO form of #election. 
All #Biafrans want is #Biaf…",FALSE,0,NA,2017-10-04 14:44:19,FALSE,NA,"915588395958702082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onubeth",21,TRUE,FALSE,NA,NA
"RT @CUPE728: We have an election! @MarkHancockCUPE and @mileskrauter for CUPE National President #CUPE2017 @cupenat #election https://t.co/…",FALSE,0,NA,2017-10-04 14:43:58,FALSE,NA,"915588308952109056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TiffanyBalducci",2,TRUE,FALSE,NA,NA
"RT @jim3love: 18th Nov 2017 is a total lock down in #Anambra #Biafraland. There will be #NO form of #election. 
All #Biafrans want is #Biaf…",FALSE,0,NA,2017-10-04 14:40:49,FALSE,NA,"915587516815806464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ONYEANUSIBONAVE",21,TRUE,FALSE,NA,NA
"@DavidCornDC I say we just go back to paper #ballots , til @realDonaldTrump is out of office . I don't trust the… https://t.co/ANbfvWz2TH",FALSE,0,"DavidCornDC",2017-10-04 14:38:28,TRUE,"915582448897085441","915586924341006337","15220768","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","motivatedinmich",0,FALSE,FALSE,NA,NA
"RT @LouKavar: Trying to make senses of the #election as a person of faith. https://t.co/MHxtuWc7W6",FALSE,0,NA,2017-10-04 14:34:46,FALSE,NA,"915585995470524416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zaibuaayan",1,TRUE,FALSE,NA,NA
